0_Area under the curve,0_Autocorrelation,0_Centroid,0_Mean absolute diff,0_Mean diff,0_Median absolute diff,0_Median diff,0_Negative turning points,0_Neighbourhood peaks,0_Positive turning points,0_Signal distance,0_Slope,0_Sum absolute diff,0_Zero crossing rate
2.047451287999491,3577.385913239078,29.47934413842999,0.04351852086572189,-3.816186552915943e-08,0.0358272148296237,6.041675806045532e-05,310292.0,65607.0,310293.0,1325079.5251022335,1.0357906705521878e-12,57574.959586829194,477018.0
1.3466202006732393,1544.6901281893047,27.26117073582538,0.028520520472140622,3.997081123282011e-09,0.023345001973211765,7.859431207180023e-06,311534.0,63445.0,311534.0,1323894.9315670307,-2.743666007243525e-12,37732.62006412157,476092.0
1.0639387845278032,978.7203252990425,28.931616462759436,0.022927289879603508,3.179014639610033e-09,0.018367181532084942,-1.0799150913953781e-05,314298.0,64469.0,314298.0,1323603.327538121,-1.3359232743993614e-12,30332.78158342556,475132.0
0.9948430760543621,868.1276138717524,26.161170090294544,0.020188162623867176,-3.137487089487457e-08,0.015562888234853745,1.74548476934433e-05,303630.0,64290.0,303629.0,1323511.4119396075,-9.040934110398533e-13,26708.918963213648,447913.0
0.7751086659345356,576.8406788118368,30.214515400286906,0.013562997863473593,-1.4870449348044807e-08,0.010150274261832237,-1.816079020500183e-06,320426.0,66010.0,320427.0,1323259.5335668048,-6.189604584660561e-13,17943.8326103777,397790.0
0.8026628975490012,668.0799323308346,28.862376402365467,0.015405816752742487,3.023772833951475e-08,0.011637270450592041,-1.3938173651695251e-05,326929.0,64511.0,326929.0,1323339.3536581951,-5.691505783728615e-14,20381.880158061558,433477.0
0.8190963434418548,833.3387199116419,27.632388424167026,0.01557934670205342,-1.4102339242140433e-08,0.010907068848609924,1.0625459253787994e-05,324291.0,65191.0,324290.0,1323411.7692271424,1.2005740734715761e-12,20611.46010746997,419883.0
0.6939106281354531,489.1582855044897,28.368695651737653,0.013266875649751835,-2.955199001147722e-08,0.00947900302708149,-1.8614809960126877e-05,330353.0,63766.0,330353.0,1323258.1136037596,-2.6073853157172253e-12,17552.06321774603,418073.0
0.776890807243473,696.226779579325,30.524361242581715,0.017126316912306955,-1.139341548298278e-08,0.010742413811385632,-3.807246685028076e-06,346553.0,62438.0,346552.0,1323489.3311685906,-1.5729447416514394e-11,22658.100148665188,451462.0
0.8024662284882544,729.3783311471243,31.409145388666495,0.017339438561309057,-8.323974071671091e-08,0.011186998221091926,1.706695184111595e-05,344901.0,61645.0,344901.0,1323480.744553954,-2.104086398457274e-11,22940.05987717332,455303.0
